"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01138","Mushrooms and truffles","","CPA_A01138","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011380","Mushrooms and truffles","","CPA_A011380","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01139","Vegetables, fresh, n.e.c.","","CPA_A01139","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011390","Vegetables, fresh, n.e.c.","","CPA_A011390","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0114","Sugar cane","","CPA_A0114","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01141","Sugar cane","","CPA_A01141","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011410","Sugar cane","","CPA_A011410","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0115","Unmanufactured tobacco","","CPA_A0115","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01151","Unmanufactured tobacco","","CPA_A01151","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011510","Unmanufactured tobacco","","CPA_A011510","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0116","Fibre crops","","CPA_A0116","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01161","Fibre crops","","CPA_A01161","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011611","Cotton, whether or not ginned","","CPA_A011611","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011612","Jute, kenaf and other textile bast fibres, raw or retted, except flax, true hemp and ramie","","CPA_A011612","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011619","Flax, true hemp and raw fibre crops n.e.c.","","CPA_A011619","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0119","Other non-perennial crops","","CPA_A0119","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01191","Forage crops","","CPA_A01191","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011910","Forage crops","","CPA_A011910","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01192","Cut flowers and flower buds; flower seeds","","CPA_A01192","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011921","Cut flowers and flower buds","","CPA_A011921","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011922","Flower seeds","","CPA_A011922","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A01193","Beet seeds, seeds for forage plants; other raw vegetable materials","","CPA_A01193","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011931","Beet seeds (excluding sugar beet seeds) and seeds for forage plants","","CPA_A011931","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A011939","Raw vegetable materials n.e.c.","","CPA_A011939","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A012","Perennial crops","","CPA_A012","valid","2018-03-23"
"http://dd.eionet.europa.eu/vocabulary/eurostat/cpa2_1/CPA_A0121","Grapes","","CPA_A0121","valid","2018-03-23"
