"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_16",12.9,0.1,0,0,0,0,2.2,0,139.4,4.9,645.1,30.3,8.9,53.9,13.7,32.6,40.9,17.5,21.6,40,3.3,10.4,30.1,21.3,0.1,2.8,169,154.1,7.8,1432.4,52.6,15,0.3,0.7,22.5,1.2,5,1.9,1.4,4,6.4,275.3,46,58.7,10.9,2,17,2.1,12.4,0,363.9,0,9.9,67.8,1.5,12.7,5.1,1492.1,-1281.5
"TTL_17T18",11.5,0.3,0.1,0,0,0,2,0,848.4,22.3,78.8,1164.4,14.5,148.7,267.4,126.7,51.8,8.8,9,20,6.1,10.1,18.9,16.8,0,3,62.5,4,9.3,75.2,714.4,19.1,0.5,1.7,90,4.9,52,449.6,6.5,11,141,18.6,179.3,73.3,293.5,91.3,196.4,19.9,68.6,0,1100.9,0.1,10.9,55.4,2.8,40,19.6,2165.3,-2377.4
"TTL_19",325.9,72.7,22,0,0,0,8.3,0.1,213.9,50.5,43.1,41.8,1285,1701.5,87.2,156.8,232.9,94.6,83.2,54.7,13.6,22.2,33.7,25.3,0.1,6.2,100.8,55.4,139.1,745.4,312.3,974.3,222,414.4,259.5,72.1,94.4,21.5,11.3,59,118,85.3,355.5,529,458.7,94.1,382.9,28.8,79.1,0,4719.1,0.1,21,82.1,2,102.7,54.3,6786.7,-2951
"TTL_20",691.1,22.8,2,0,0,0,19.5,0,776.2,460.9,375.2,305.9,1802.4,6377.3,748,1858.1,283.5,288.1,478.6,229.2,41.6,165.6,80.8,150.5,0.1,7.3,274,232.4,150.7,664,920.6,98.1,22,36.4,51.7,8.6,61.7,25,6.6,22.1,31.8,150.8,335.2,407.6,120.2,50.9,880.3,18.8,100.6,0,3565.7,0.1,103.1,137.9,-6,32.7,18,20200.9,-11478.6
"TTL_21",220.5,2.1,0,0,0,0,2.6,0,410.4,56.2,49.7,40.5,208.6,874.3,2576.5,229.8,34.5,34.1,57.4,32,8.8,21.4,15.1,25.8,0,1.4,39.8,25.4,14.7,143.7,4913.6,11.6,5.1,15.6,16.9,0.8,18.1,19,10.1,38.8,23.9,21.7,591,218.4,30.9,357.8,4593.2,12.8,14.7,0,3054.5,0,2896.3,142.6,9.7,24.3,15.6,15943.6,-9020.9
"TTL_22",30.6,0.7,0.8,0,0,0,9.5,0,866.9,77.6,32,205.2,51.7,476.4,183.8,529.4,129.1,62.9,111.8,194.7,42.3,78.5,188.5,440,0.1,24.8,190.4,7.1,60,1708.6,428.7,62.3,0.8,5.4,39.7,1.2,41.8,8.1,3,9.1,17,158.9,77,104.3,63.7,5.9,105.5,6.3,41.3,0,974.8,0.1,26.9,241.8,3.5,3.3,3.2,5156.9,-4270
"TTL_23",16.1,0.4,0.1,0,0,0,12.1,0,331.7,22.3,8.6,9,19.3,100.3,73.7,45.4,925.5,79.5,52.7,41.3,17.7,16.6,13.4,73.1,0.2,1.4,51.6,5.4,15.2,4625.4,147.6,6.5,0.6,1.6,6.6,1.6,17,2.5,2.4,7.6,9.6,446.9,54.2,111,14.9,3,32.5,2.4,7.3,0,636.6,0.1,14.1,153.6,-0.1,3,1.7,2486.9,-1901.4
"TTL_24A",0.1,0.1,0,0,0,0,0,0,7.7,0.6,0.6,0,47,86.5,1,38.7,133.4,2846.1,363.2,1989.1,43.9,233.4,742.1,149.8,0.5,45.9,159.5,0,0.3,1080.6,36.9,0.2,0,0.1,0.1,0.1,0.1,0,0.1,0,0,76,0.9,8.5,16.1,0,0.3,0.1,0,0,2.6,0,11.6,11.1,-14.8,0.6,0,5846.4,-3063.9
"TTL_24B",0.3,0,0,0,0,0,0,0,9.7,0.6,0.4,0.2,22.4,155.1,3,26.1,39.1,377.6,2739.4,531.4,60.2,359.8,182.9,47.3,0.1,13.7,75.6,0.1,0.6,170.4,17.4,0.5,0,0,0.2,0.2,0.4,0.1,0,0,0.1,27.7,2.3,3.8,7.8,0.2,14.9,1.4,1,0,134.4,0,6.7,68.2,-19.3,1.7,0,7995,-2608.9
"TTL_25",34.7,1.6,3.9,0,0,0,9.2,0.2,313.3,33.6,39.4,58.2,62.7,233.9,30.9,88.1,125.3,251.5,229.1,1743.6,128.3,65.6,475.8,284.4,0.7,64.4,422.8,11.2,71.7,3047.8,150.6,26,3,20.5,11.4,3.5,68.6,4.2,25.9,9.9,30.7,127.6,98.3,67,144.3,13.1,80.1,9.6,26.5,0,868.3,0.1,26.8,3852,93.2,4.1,2,3837.9,-3804.1
"TTL_26",14.6,0.7,0.3,0,0,0,1.4,0.1,37.4,5.2,4.4,7.4,26.1,51.4,48,9.3,8.6,17.6,15.5,21.9,583.2,46.4,70.9,119.6,0.2,16.6,44.4,9.9,11.5,227.1,96.3,13.4,1.8,12,17.2,11.5,9.4,24.6,174.8,164.2,91.5,9,158.5,31.5,45.9,7.9,54.5,10.1,30.3,0,1494.2,0,22.7,4356.2,106.2,24.8,1.6,3228.5,-7353.9
"TTL_27",7.2,0.5,0.8,0,0,0,0.5,0,26.8,9.9,1.9,4.7,21.6,34.9,10.1,11.1,5.9,30.6,44.5,33.6,137.5,242,177.4,640,0,4.2,237.1,3.5,5.8,695.9,86.9,5.1,0.6,3.4,4.8,1.5,4.1,14.3,9.7,12,10.1,23.2,62.8,13,17.1,1.9,13,6.2,6.3,0,1835.3,0,7.2,2210.4,55,13.8,2.5,2103.4,-5175.5
"TTL_28",33.7,34.6,1.2,0,0,0,6.6,0.2,88,9.2,8.5,13.4,36.5,110.7,46.4,56.5,19,42.1,34.5,93,61,18.2,1467.8,306,0.1,9.5,427,10.3,13.7,839.5,121.7,19.9,3.3,18.1,53.1,24.1,17,8.5,46.2,32.8,21.3,40.1,155.5,58.3,39.7,6.8,78.7,6.7,8.3,0,641.7,0.1,31.2,6372.6,155.9,4.5,3.6,7067.8,-7551.7
"TTL_29",5.5,0.6,0.2,0,0,0,0.9,0,27.2,4.9,2.3,5,16.4,22.2,23.1,8.7,8.5,12.7,13.8,24.8,9.1,8.7,37.6,4200.2,0.1,14,48.1,7.5,35.1,125.7,333.3,115.6,1.8,4.5,73.7,35.2,6.5,11.2,6.7,21.5,20.1,9.8,88.3,109.1,21.2,3.9,29.6,5.5,6.8,0,4575.7,0,41.4,7102.7,173.6,20,3.2,10876.6,-13987.6
"TTL_301",0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0.2,0,0.5,0.4,1.5,15.3,4.7,0,0,0.5,0.1,0.8,4.6,1.7,2.1,0,0,0,0,0,0,0,0.2,0.1,2.2,0,0.1,0,0,0,34.8,0,0.1,257.6,6.6,0.1,0,19.6,-333.7
"TTL_302T309",0.2,0,1,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,1.9,0.8,0.4,0.2,0.5,1.3,0.8,5,1,1.6,4.2,0.2,222.8,148.7,0.1,0.1,2.3,1.1,36.6,5.1,37.7,45.7,0.1,0.1,0.1,0.3,1,0.5,0.2,3.7,0.5,51.1,0.1,1.1,0.1,0.8,0,321.9,0,2.4,1483.3,37.6,0.3,0,656.6,-1316.1
"TTL_31T33",225.8,5.9,6,0,0,0,7.8,2.5,393.9,46.8,64.9,99.6,70.3,169.6,115.8,62.3,125.7,171.5,131.9,110.4,21.5,24.7,95.1,87.4,0.5,78.3,380.5,98.8,192.9,653.8,289.2,158,36.2,271.7,97.9,27.8,84,30.3,83.1,22.6,42.8,53.2,404.8,290.8,136.8,50.2,776.7,90.4,95.6,0,3726.6,0.1,262.5,2687.3,44,95.4,10.7,2817.4,-5611.3
